Locality	VolumeClass	Comm	Area	TerrUnivStructGroup	ContractNumberofBAT	ContractNumberofJTI	ContractNumberofPMI	ContractNumberofNon	TmrName	LegalName	OutletName	TerrType	PlannedVisits	CompletedVisits	TotalAmount	NumberofCustomer	TotalAnnualVol	MTDSales	SalesMTDsply	YTDSales	SalesYTDsply	MTDSalesDSA	SalesMTDsplyDSA	YTDSalesDSA	SalesYTDsplyDSA	BenefitsMTD	BenefitsMTDSPLY	BenefitsYTD	BenefitsYTDSPLY	SalesEvolutionSPLM	Overdue	DelayDay	BatVolume	PaymentBehavior	Oos	OosCount	CompletedVisitsYTD	EfficientVisitsYTD	CompletedVisitsYTDSPLY	EfficientVisitsYTDSPLY	Invoices	InvoicesSply	VariableFeeYTD	RcfYTD	MeritBasicYTD	OthersYTD	BoosterYTD	TradeMarginYTD	VariableFeeSPLY	RcfSPLY	MeritBasicSPLY	OthersSPLY	BoosterSPLY	TradeMarginSPLY	CompliancyPercent	NonC	Checkno	CompliancyComm	CompliancyPlanogram	CompliancyPromotion	CompliancyVisibility	ContractStartDate	ContractEndDate	ContractType	Position	ContractValue	DayPassed	DayRemaining	ReportDate
ALESD	7	Bat	A45	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	UNICARM SRL	UNICARM ALESD SOIMUL G91	E			6035.40	1	402	12.06	5.54	167.74	168.00	0.75	0.37	0.74	0.74	309.17	267.48	4282.16	7581.54	0.09			241	-0.03	0	24	45	44	47	44	46	47						4282.16						7581.54															22/11/2016
ARAD	5	Bat	A46	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	UNICARM SRL	UNICARM ARAD AUREL VLAICU G47	E			12203.98	1	1033	16.00	32.40	330.32	518.34	1.00	2.16	1.45	2.28	489.36	1537.55	8476.00	23358.89	0.73	5069.22	2	620	-0.03	0	48	91	56	92	83	59	90						8476.00						23358.89															22/11/2016
ARAD	5	Bat	A46	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	UNICARM SRL	UNICARM ARAD GARA G48	E			15906.96	1	1747	28.60	73.40	768.32	844.24	1.79	4.89	3.37	3.72	793.57	3337.68	19505.70	37649.49	0.11	5146.30	2	874	-0.03	0	48	87	85	94	90	90	93						19505.70						37649.49															22/11/2016
ARAD	5	Bat	A46	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	UNICARM SRL	UNICARM ARAD MICALACA G60	E			16886.66	1	1094	31.40	9.82	372.18	378.86	1.96	0.65	1.63	1.67	896.32	455.03	9371.41	16907.86	0.55	2411.67	2	547	-0.03	0	48	91	84	90	77	86	81						9371.41						16907.86															22/11/2016
ARAD	6	Bat	A46	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	UNICARM SRL	UNICARM ARAD CONFECTII G58	E			31788.37	1	989	48.00	2.94	261.36	250.40	3.00	0.20	1.15	1.10	1218.78	139.24	6583.24	11154.34	0.22			494	-0.03	0	48	91	48	80	58	53	62						6583.24						11154.34															22/11/2016
BAIA  MARE	6	Bat	A33	GROW	1	0	0	0	DANIEL GAVRILA PODINA	BIRLE ALINA-MARIA II	TAMAS	P	2	2		1	897	38.00	45.08	497.56	550.84	2.38	3.01	2.18	2.43	1397.55	2537.35	18267.44	29979.87	0.33			702	-5.78	0	48	106	103	93	93	104	94	2905.99	0.00	0.00	276.00	2169.22	12916.23	0.00	0.00	0.00	0.00	4924.29	25055.58	100	0	5	0	0	0	0	01/01/2016	31/12/2019	Fee Variabil	1st Position	0	327	1133	22/11/2016
BAIA MARE	4	Bat	A32	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	BOTOS EDITA GYONGYI II	NON STOP GARII	P	4	2	13505.85	1	2516	49.00	49.00	827.86	928.28	3.06	3.27	3.63	4.09	1482.63	2820.33	32019.14	52096.75	-0.13			1279	-0.44	0	48	96	96	89	85	100	88	8653.94	0.00	0.00	108.00	2316.62	20940.58	0.00	2594.90	0.00	0.00	8628.52	40873.33	100	0	4	0	0	0	0	01/03/2015	28/02/2019	Fee Variabil	1st Position	0	633	827	22/11/2016
BAIA MARE	4	Bat	A32	IKA	0	0	0	0	DANIEL GAVRILA PODINA	KAZOMOL SRL	MOL 91033 BAIA MARE BUCURESTI BVD	P	4	3	0.00	1	2099	88.40	85.72	1537.88	1291.52	5.53	5.71	6.75	5.69								1203	-1.49	0	16	47	47	49	48	50	52													100	0	3	0	0	0	0								22/11/2016
BAIA MARE	4	Bat	A32	IKA	0	0	0	0	DANIEL GAVRILA PODINA	LS TRAVEL RETAIL ROMANIA SRL	INMEDIO BAIA MARE KAUFLAND 220	P	4	1	0.00	1	2324	99.04	76.98	1377.20	1272.62	6.19	5.13	6.04	5.61								1245	-0.26	0	56	96	92	96	95	97	98													100	0	1	0	0	0	0								22/11/2016
BAIA MARE	4	Bat	A33	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	DAYTONA COM SRL	DAYTONA MAGAZIN RODICA	P	4	2	68058.49	1	2442	213.60	200.60	3195.40	3065.38	13.35	13.37	14.01	13.50	5547.43	14150.60	114984.78	156050.51		35916.93	2	1487	-0.18	0	48	111	95	98	86	95	88	0.00	18300.84	0.00	0.00	13484.16	83199.78	0.00	0.00	0.00	0.00	16870.45	139180.06	100	0	6	0	0	0	0	01/02/2016	31/12/2016	RCF + Fee Fix	1st Position	11340	296	38	22/11/2016
BAIA MARE	4	Bat	A33	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	DAYTONA COM SRL	DAYTONA NON STOP RODICA	P	4	2	34121.81	1	2546	45.00	112.20	985.88	1415.80	2.81	7.48	4.32	6.24	1161.02	5206.56	49014.06	64242.63				1633	-0.18	0	56	102	33	120	48	32	51	0.00	23647.64	0.00	0.00	0.00	25366.42						64242.63	100	0	6	0	0	0	0	01/02/2016	31/12/2016	RCF + Fee Fix	1st Position	11340	296	38	22/11/2016
BAIA MARE	4	Bat	A33	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	DAYTONA COM SRL	DAYTONA NON STOP TRAIAN	P	4	2	40272.00	1	2614	104.96	84.40	1500.56	1259.60	6.56	5.63	6.58	5.55	2658.89	3872.92	38232.46	56225.06	0.16	16500.04	2	1784	-0.18	0	48	95	93	91	90	96	91						38232.46						56225.06	100	0	5	0	0	0	0	01/02/2016	31/12/2016	RCF + Fee Fix	1st Position	11340	296	38	22/11/2016
BAIA MARE	4	Bat	A33	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	DAYTONA COM SRL	DAYTONA NON STOP VANATORUL	P	4	2	39097.72	1	2969	87.20	83.60	1300.60	1303.00	5.45	5.57	5.70	5.74	2238.17	3872.32	33386.10	58644.13	0.11	18398.82	5	2033	-0.18	0	48	93	91	92	91	91	92						33386.10						58644.13	100	0	6	0	0	0	0	01/02/2016	31/12/2016	RCF + Fee Fix	1st Position	11340	296	38	22/11/2016
BAIA MARE	4	Bat	A33	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	NOBIL PLUS SRL	NOBIL	P	4	1	16702.38	1	2083	49.28	29.88	1016.54	1054.32	3.08	1.99	4.46	4.64	1474.15	1872.17	31701.70	54065.59	0.22			1238	1.05	0	72	146	112	114	99	115	107	1697.58	0.00	0.00	276.00	2819.97	26908.15	0.00	0.00	0.00	0.00	5411.36	48654.23	100	0	5	0	0	0	0	01/08/2016	31/07/2020	Fee Fix + Fee Variabil	1st Position	64000	114	1346	22/11/2016
BAIA MARE	4	Bat	A33	IKA	0	0	0	0	DANIEL GAVRILA PODINA	ALIKAR SRL	MOL 91034 BAIA MARE VASILE ALECSANDRI	P	4	3	0.00	1	2504	60.72	64.36	1438.60	1347.74	3.80	4.29	6.31	5.94								1447	6.73	12	48	95	80	91	88	83	96													100	0	3	0	0	0	0								22/11/2016
BAIA MARE	4	Bat	A33	IKA	0	0	0	0	DANIEL GAVRILA PODINA	LS TRAVEL RETAIL ROMANIA SRL	INMEDIO BAIA MARE KAUFLAND 026	P	4	1	0.00	1	2116	103.96	89.28	1596.66	1493.58	6.50	5.95	7.00	6.58								1054	-0.26	0	56	91	88	90	87	96	91													100	0	1	0	0	0	0								22/11/2016
BAIA MARE	4	Other	A32	IKA	0	0	0	0	DANIEL GAVRILA PODINA	AUCHAN ROMANIA SA	AUCHAN BAIA MARE BUCURESTI	P	3	1	0.00	1	2577	137.94	85.18	1851.14	1454.64	8.62	5.68	8.12	6.41								1568	0.25	0	24	50	49	48	35	51	52																											22/11/2016
BAIA MARE	4	Other	A32	IKA	0	0	0	0	DANIEL GAVRILA PODINA	KAUFLAND ROMANIA SCS	KAUFLAND BAIA MARE UNIRII	P	4	1	0.00	1	2791	83.40	75.80	1015.20	1061.04	5.21	5.05	4.45	4.67								1931	-1.33	0	32	50	43	43	42	47	45																											22/11/2016
BAIA MARE	4	Other	A33	IKA	0	0	0	0	DANIEL GAVRILA PODINA	ROMANIA HYPERMARCHE SA	CORA BAIA MARE	P	4	1	0.00	1	3490	152.28	189.32	1986.48	2309.04	9.52	12.62	8.71	10.17								2094	8.85	16	24	86	70	81	76	81	80																											22/11/2016
BAIA MARE	5	Bat	A32	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	B.C. UNO SRL	MOZAIC	P	2	1	4504.64	1	1101	23.48	25.52	539.58	616.68	1.47	1.70	2.37	2.72	1045.09	1582.10	19078.37	30804.57	-0.20			671	-4.15	0	48	92	91	90	86	91	95	4090.29	0.00	0.00	0.00	1677.60	13310.48	0.00	0.00	0.00	0.00	3784.98	27019.59	100	0	3	0	0	0	0	01/11/2015	31/10/2019	Fee Fix + Fee Variabil	1st Position	2000	388	1072	22/11/2016
BAIA MARE	5	Bat	A32	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	DRAGOS LAVINIA-PAULA INTREPRINDERE INDIVIDUALA	NON STOP SEMILUNA	P	3	2	10120.00	1	1217	39.98	45.04	626.46	479.20	2.50	3.00	2.75	2.11	1526.78	2318.29	17481.44	24240.35	0.03			728	-0.29	0	48	94	86	87	83	88	87	0.00	0.00	0.00	24.00	1624.31	15833.13	0.00	0.00	0.00	0.00	3017.42	21222.93	100	0	4	0	0	0	0	23/06/2014	22/06/2017	Fee Fix	1st Position	16500	884	211	22/11/2016
BAIA MARE	5	Bat	A32	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	LIANA SRL	LIANA 3	P	3	1	11740.07	1	1143	27.40	40.40	620.76	565.02	1.71	2.69	2.72	2.49	1732.49	2263.20	20763.21	29463.33	-0.37			718	-0.65	0	24	48	48	45	41	48	43	2738.64	0.00	0.00	132.00	2095.32	15797.25	0.00	0.00	0.00	0.00	4330.08	25133.25	100	0	3	0	0	0	0	01/01/2015	31/12/2018	Fee Fix + Fee Variabil	1st Position	48000	692	768	22/11/2016
BAIA MARE	5	Bat	A32	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	LUCMAR SRL	LUCMAR 2	P	2	1	13056.06	1	1070	51.76	46.88	794.26	625.40	3.24	3.13	3.48	2.76	1898.04	2551.64	22030.74	31188.21	0.02			655	-0.60	0	72	131	128	96	95	126	96	0.00	0.00	0.00	48.00	2207.86	19774.88	0.00	0.00	0.00	0.00	3829.62	27358.59	100	0	3	0	0	0	0	01/02/2013	31/01/2017	Fee Fix	1st Position	18000	1391	69	22/11/2016
